STOP_NAME,MAP_ID,Location X,Location Y
Kimball (Terminal arrival),41290,41.967901,-87.713065
King Drive (Cottage Grove-bound),41140,41.78013,-87.615546
King Drive (Harlem-bound),41140,41.78013,-87.615546
Kostner (54th/Cermak-bound),40600,41.853751,-87.733258
Kostner (Loop-bound),40600,41.853751,-87.733258
Lake (95th-bound),41660,41.884809,-87.627813
Lake (Howard-bound),41660,41.884809,-87.627813
Laramie (63rd-bound),40700,41.887163,-87.754986
Laramie (Harlem-bound),40700,41.887163,-87.754986
LaSalle (Forest Pk-bound),41340,41.875568,-87.631722
LaSalle (O'Hare-bound),41340,41.875568,-87.631722
LaSalle/Van Buren (Inner Loop),40160,41.8768,-87.631739
LaSalle/Van Buren (Outer Loop),40160,41.8768,-87.631739
Lawrence (95th-bound),40770,41.969139,-87.658493
Lawrence (Howard-bound),40770,41.969139,-87.658493
Linden (Howard-Loop-bound),41050,42.073153,-87.69073
Linden (Linden-bound),41050,42.073153,-87.69073
Logan Square (Forest Pk-bound),41020,41.929728,-87.708541
Logan Square (O'Hare-bound),41020,41.929728,-87.708541
Loyola (95th-bound),41300,42.001073,-87.661061
Loyola (Howard-bound),41300,42.001073,-87.661061
Main (Howard-Loop-bound),40270,42.033456,-87.679538
Main (Linden-bound),40270,42.033456,-87.679538
Merchandise Mart (Kimball-Linden-bound),40460,41.888969,-87.633924
Merchandise Mart (Loop-bound),40460,41.888969,-87.633924
Midway (Arrival),40930,41.78661,-87.737875
Midway (Loop-bound),40930,41.78661,-87.737875
Monroe (Forest Pk-bound),40790,41.880703,-87.629378
Monroe (95th-bound),41090,41.880745,-87.627696
Monroe (Howard-bound),41090,41.880745,-87.627696
Monroe (O'Hare-bound),40790,41.880703,-87.629378
Montrose (Forest Pk-bound),41330,41.961539,-87.743574
Montrose (O'Hare-bound),41330,41.961539,-87.743574
Montrose (Kimball-bound),41500,41.961756,-87.675047
Montrose (Loop-bound),41500,41.961756,-87.675047
Morgan (Harlem-54th/Cermak-bound),41510,41.885586,-87.652193
Morgan (Loop-63rd-bound),41510,41.885586,-87.652193
Morse (95th-bound),40100,42.008362,-87.665909
Morse (Howard-bound),40100,42.008362,-87.665909
North/Clybourn (95th-bound),40650,41.910655,-87.649177
North/Clybourn (Howard-bound),40650,41.910655,-87.649177
Noyes (Howard-Loop-bound),40400,42.058282,-87.683337
Noyes (Linden-bound),40400,42.058282,-87.683337
Oak Park (Forest Pk-bound),40180,41.872108,-87.791602
Oak Park (O'Hare-bound),40180,41.872108,-87.791602
Oak Park (63rd-bound),41350,41.886988,-87.793783
Oak Park (Harlem-bound),41350,41.886988,-87.793783
Oakton-Skokie (Dempster-Skokie-bound),41680,42.02624348,-87.74722084
Oakton-Skokie (Howard-bound),41680,42.02624348,-87.74722084
O'Hare (Forest Pk-bound),40890,41.97766526,-87.90422307
O'Hare (Terminal Arrival),40890,41.97766526,-87.90422307
Paulina (Kimball-bound),41310,41.943623,-87.670907
Paulina (Loop-bound),41310,41.943623,-87.670907
Polk (54th/Cermak-bound),41030,41.871551,-87.66953
Polk (Loop-bound),41030,41.871551,-87.66953
Pulaski (Loop-bound),40960,41.799756,-87.724493
Pulaski (Midway-bound),40960,41.799756,-87.724493
Pulaski (54th/Cermak-bound),40150,41.853732,-87.724311
Pulaski (Loop-bound),40150,41.853732,-87.724311
Pulaski (Forest Pk-bound),40920,41.873797,-87.725663
Pulaski (O'Hare-bound),40920,41.873797,-87.725663
Pulaski (63rd-bound),40030,41.885412,-87.725404
Pulaski (Harlem-bound),40030,41.885412,-87.725404
Quincy/Wells (Inner Loop),40040,41.878723,-87.63374
Quincy/Wells (Outer Loop),40040,41.878723,-87.63374
Racine (Forest Pk-bound),40470,41.87592,-87.659458
Racine (O'Hare-bound),40470,41.87592,-87.659458
Ridgeland (63rd-bound),40610,41.887159,-87.783661
Ridgeland (Harlem-bound),40610,41.887159,-87.783661
Rockwell (Kimball-bound),41010,41.966115,-87.6941
Rockwell (Loop-bound),41010,41.966115,-87.6941
Roosevelt (Loop-Harlem-bound),41400,41.867405,-87.62659
Roosevelt (Howard-bound),41400,41.867368,-87.627402
Roosevelt (Midway-63rd-bound),41400,41.867405,-87.62659
Roosevelt (95th-bound),41400,41.867368,-87.627402
Rosemont (Forest Pk-bound),40820,41.983507,-87.859388
Rosemont (O'Hare-bound),40820,41.983507,-87.859388
Sedgwick (Kimball-Linden-bound),40800,41.910409,-87.639302
Sedgwick (Loop-bound),40800,41.910409,-87.639302
Sheridan (95th-bound),40080,41.953775,-87.654929
Sheridan (Howard-bound),40080,41.953775,-87.654929
Sheridan (Howard-Linden-bound),40080,41.953775,-87.654929
Sheridan (Loop-bound),40080,41.953775,-87.654929
South Blvd (Howard-Loop-bound),40840,42.027612,-87.678329
South Blvd (Linden-bound),40840,42.027612,-87.678329
Southport (Kimball-bound),40360,41.943744,-87.663619
Southport (Loop-bound),40360,41.943744,-87.663619
Sox-35th (95th-bound),40190,41.831191,-87.630636
Sox-35th (Howard-bound),40190,41.831191,-87.630636
State/Lake (Inner Loop),40260,41.88574,-87.627835
State/Lake (Outer Loop),40260,41.88574,-87.627835
Thorndale (95th-bound),40880,41.990259,-87.659076
Thorndale (Howard-bound),40880,41.990259,-87.659076
UIC-Halsted (Forest Pk-bound),40350,41.875474,-87.649707
UIC-Halsted (O'Hare-bound),40350,41.875474,-87.649707
Washington (Forest Pk-bound),40370,41.883164,-87.62944
Washington (O'Hare-bound),40370,41.883164,-87.62944
Washington/Wabash (Outer Loop),41700,41.88322,-87.626189
Washington/Wabash (Inner Loop),41700,41.88322,-87.626189
Washington/Wells (Inner Loop),40730,41.882695,-87.63378
Washington/Wells (Outer Loop),40730,41.882695,-87.63378
Wellington (Kimball-Linden-bound),41210,41.936033,-87.653266
Wellington (Loop-bound),41210,41.936033,-87.653266
Western (Loop-bound),40310,41.804546,-87.684019
Western (Midway-bound),40310,41.804546,-87.684019
Western (54th/Cermak-bound),40740,41.854225,-87.685129
Western (Loop-bound),40740,41.854225,-87.685129
Western (Kimball-bound),41480,41.966163,-87.688502
Western (Loop-bound),41480,41.966163,-87.688502
Western (O'Hare Branch) (Forest Pk-bound),40670,41.916157,-87.687364
Western (Forest Pk Branch) (O'Hare-bound),40220,41.875478,-87.688436
Western (Forest Pk Branch) (Forest Pk-bound),40220,41.875478,-87.688436
Western (O'Hare Branch) (O'Hare-bound),40670,41.916157,-87.687364
Wilson (Loop-bound),40540,41.964273,-87.657588
Wilson (95th-bound),40540,41.964273,-87.657588
Wilson (Howard-bound),40540,41.964273,-87.657588
Wilson (Linden-bound),40540,41.964273,-87.657588
