STOP_ID,STOP_NAME,STATION_NAME,Location X,Location Y
30100,Garfield (63rd-bound),Garfield,41.795172,-87.618327
30099,Garfield (Harlem-bound),Garfield,41.795172,-87.618327
30224,Garfield (95th-bound),Garfield,41.79542,-87.631157
30223,Garfield (Howard-bound),Garfield,41.79542,-87.631157
30096,Grand/Milwaukee (Forest Pk-bound),Grand,41.891189,-87.647578
30095,Grand/Milwaukee (O'Hare-bound),Grand,41.891189,-87.647578
30065,Grand/State (95th-bound),Grand,41.891665,-87.628021
30064,Grand/State (Howard-bound),Grand,41.891665,-87.628021
30148,Granville (95th-bound),Granville,41.993664,-87.659202
30147,Granville (Howard-bound),Granville,41.993664,-87.659202
30215,Halsted (Loop-bound),Halsted,41.84678,-87.648088
30216,Halsted (Midway-bound),Halsted,41.84678,-87.648088
30184,Halsted/63rd (Ashland-bound),Halsted,41.778943,-87.644244
30183,Halsted/63rd (Harlem-bound),Halsted,41.778943,-87.644244
30146,Harlem (O'Hare Branch) (Forest Pk-bound),Harlem,41.98227,-87.8089
30145,Harlem (O'Hare Branch) (O'Hare-bound),Harlem,41.98227,-87.8089
30189,Harlem (Forest Pk Branch) (O'Hare-bound),Harlem,41.87349,-87.806961
30190,Harlem (Forest Pk Branch) (Terminal arrival),Harlem,41.87349,-87.806961
30004,Harlem (Terminal arrival),Harlem/Lake,41.886848,-87.803176
30003,Harlem (63rd-bound),Harlem/Lake,41.886848,-87.803176
30166,H.W. Library (Inner Loop),Harold Washington Library-State/Van Buren,41.876862,-87.628196
30165,H.W. Library (Outer Loop),Harold Washington Library-State/Van Buren,41.876862,-87.628196
30286,Harrison (95th-bound),Harrison,41.874039,-87.627479
30285,Harrison (Howard-bound),Harrison,41.874039,-87.627479
30176,Howard (Terminal arrival),Howard,42.019063,-87.672892
30173,Howard (Terminal arrival),Howard,42.019063,-87.672892
30174,Howard (95th-Bound),Howard,42.019063,-87.672892
30175,Howard (Linden- Skokie-bound),Howard,42.019063,-87.672892
30158,Illinois Medical District (Forest Pk-bound),Illinois Medical District,41.875706,-87.673932
